

  ==================================================
  ENTER THE SHUFFLED COMPLEX EVOLUTION GLOBAL SEARCH
  ==================================================


*** PRINT THE INITIAL POINT AND ITS CRITERION VALUE ***

 CRITERION    X1      X2      X3      X4      X5      X6      X7      X8      X9
   2.229   0.750   0.725 143.7503762.500   0.063 750.003   5.750   2.250   3.753


 *** PRINT THE RESULTS OF THE SCE SEARCH ***

 LOOP TRIALS COMPLXS BEST F WORST F PAR RNG     X1      X2      X3      X4      X5      X6      X7      X8      X9
    0   190      10   1.729  10.626   0.404   0.797   0.779 387.4661756.146   0.169   8.159  17.154   0.469   4.983

 POPULATION AT LOOP   0
 ----------------------
   1.729   0.404   0.797   0.779 387.4661756.146   0.169   8.159  17.154   0.469   4.983
   1.734   0.354   0.893   0.495 348.620 646.803   0.140 608.927  18.975   1.024   4.597
   1.740   0.257   0.720   0.391  86.8212922.302   0.236 436.356   7.227   0.731   3.903
   1.762   0.333   0.971   0.067 452.3974655.155   0.212 985.884   4.900   1.529   4.247
   1.783   0.279   0.880   0.646 141.7411564.987   0.103 490.018  18.994   0.222   3.495
   1.825   0.317   0.985   0.532 392.989 190.144   0.034 807.439  13.212   0.616   3.991
   1.845   0.191   0.614   0.721 218.6802299.132   0.079 332.342  14.358   1.954   4.240
   1.877   0.219   0.692   0.549 323.1931952.768   0.074 990.149   7.125   0.994   4.749
   1.882   0.271   0.654   0.512 123.7761752.318   0.144 164.645  11.063   1.137   3.294
   1.920   0.327   0.691   0.805 432.7124520.875   0.223 818.856  15.552   0.432   2.760
   1.926   0.289   0.522   0.617 292.9321365.376   0.244 196.586   4.075   2.099   3.965
   1.930   0.345   0.794   0.884 384.038 726.683   0.097 573.460  15.448   0.195   2.440
   1.932   0.297   0.879   0.150 469.1793829.456   0.006 317.804  13.613   2.135   3.266
   1.932   0.338   0.511   0.408  53.409 476.209   0.092 346.290  15.976   1.363   4.953
   1.948   0.296   0.641   0.512  55.7433919.017   0.199 475.336  18.330   0.803   3.060
   1.980   0.190   0.861   0.244 172.1441124.285   0.107 824.122   7.402   1.871   3.815
   1.982   0.189   0.638   0.635 271.4024332.257   0.091 857.887  19.565   2.660   3.627
   2.029   0.166   0.725   0.408 366.5973562.416   0.084 430.347   3.187   2.275   4.075
   2.033   0.353   0.836   0.680 483.963 644.266   0.188 229.809  13.455   2.009   4.677
   2.039   0.331   0.806   0.896 472.031 183.613   0.033 313.718  13.386   1.381   4.078
   2.056   0.295   0.863   0.181 360.8261131.854   0.053 838.412  16.517   1.912   3.029
