

  ==================================================
  ENTER THE SHUFFLED COMPLEX EVOLUTION GLOBAL SEARCH
  ==================================================


*** PRINT THE INITIAL POINT AND ITS CRITERION VALUE ***

 CRITERION    X1      X2      X3      X4      X5      X6      X7      X8      X9     X10     X11     X12     X13     X14     X15     X16     X17     X18     X19
   0.000   1.188   0.781 410.938   0.219   0.1063453.125   0.141   0.110   0.669 562.544   4.562   0.938   0.322   0.562   6.125   1.450   3.125   1.688  -3.750


 *** PRINT THE RESULTS OF THE SCE SEARCH ***

 LOOP TRIALS COMPLXS BEST F WORST F PAR RNG     X1      X2      X3      X4      X5      X6      X7      X8      X9     X10     X11     X12     X13     X14     X15     X16     X17     X18     X19
    0    50      10   0.000   0.000   0.217   1.146   0.638 496.661   0.712   0.1083108.620   0.191   0.197   0.620 665.724   8.263   0.554   1.478   2.901   4.317   1.116   0.414   1.770   1.091

 POPULATION AT LOOP   0
 ----------------------
   0.000   0.217   1.146   0.638 496.661   0.712   0.1083108.620   0.191   0.197   0.620 665.724   8.263   0.554   1.478   2.901   4.317   1.116   0.414   1.770   1.091
   0.000   0.358   0.667   0.424 130.781   0.129   0.6564958.727   0.114   0.131   0.480 772.257  19.947   0.500   2.290   1.988   7.560   3.346   0.818   2.689 -14.791
   0.000   0.319   1.051   0.535 407.348   0.584   0.7293824.798   0.218   0.132   0.248 760.282   9.558   2.671   3.956   1.357   4.510   2.636   0.078   1.434 -13.837
   0.000   0.319   1.262   0.688 235.143   0.313   0.1134681.754   0.045   0.007   0.267 964.522  13.310   1.691   4.145   2.694   3.601   4.923   3.716   1.585  -6.649
   0.000   0.243   1.233   0.865 305.949   0.312   0.611 588.270   0.161   0.019   0.936 461.381   9.529   1.636   2.020   0.594   4.326   1.980   0.935   2.929  -0.887
   0.000   0.206   1.245   0.270 306.797   0.054   0.1023694.596   0.182   0.014   0.516 731.923   5.126   1.394   1.682   0.440   4.345   1.898   0.736   1.314 -14.876
   0.000   0.285   1.321   0.071 425.131   0.432   0.1362008.824   0.185   0.166   0.367 259.017   2.084   2.267   3.019   2.204   4.819   2.485   1.924   1.799 -14.928
   0.000   0.352   1.172   0.123  71.410   0.357   0.190 581.027   0.226   0.096   0.799 161.657   8.790   2.086   1.568   2.731   2.745   5.929   0.088   1.719  -3.851
   0.000   0.327   1.449   0.589 211.570   0.705   0.4083301.223   0.062   0.246   0.266 842.224  16.094   1.759   1.501   0.916   2.145   4.949   4.447   1.806  -4.503
   0.000   0.296   0.792   0.094 362.438   0.398   0.8534330.939   0.034   0.165   0.772 881.832   3.249   1.146   1.324   0.749   6.279   2.828  -0.134   0.112   3.071
   0.000   0.263   0.775   0.738 387.152   0.421   0.9183076.141   0.192   0.038   0.817 394.056  12.458   0.237   0.672   2.652   7.006   2.626   1.086   0.832  -2.740
   0.000   0.339   0.551   0.684 438.497   0.857   0.8631245.329   0.103   0.131   0.552 216.475  19.461   1.511   3.581   2.281   5.755   2.700   1.832   2.067  -5.667
   0.000   0.331   0.763   0.235 264.608   0.659   0.082 344.105   0.064   0.196   0.615 977.299   1.467   0.858   4.458   0.505   2.477   3.579   3.657   1.451 -13.376
   0.000   0.267   1.419   0.459 301.273   0.160   0.6073525.011   0.036   0.151   0.482  23.822  15.779   2.060   2.064   1.922   4.318   1.503   3.400   1.640  -6.587
   0.000   0.215   1.309   0.823 320.551   0.118   0.3252216.177   0.078   0.009   0.293 471.772   2.042   2.683   1.842   0.604   5.846   4.737   3.661   1.621  -0.198
   0.000   0.339   0.550   0.939 277.889   0.446   0.304 700.597   0.050   0.030   0.484 116.963   2.590   0.142   3.761   0.345   2.445   4.046  -0.540   1.804  -6.365
   0.000   0.233   1.013   0.911 146.987   0.316   0.0691255.755   0.084   0.216   0.677  60.043   1.352   1.476   0.906   1.726   6.447   4.168   3.810   1.284  -6.766
   0.000   0.345   1.067   0.124  98.699   0.663   0.2511319.927   0.246   0.197   0.478  64.552  17.323   0.717   0.216   1.822   6.069   3.555   4.508   2.593   3.867
   0.000   0.270   1.064   0.111 425.750   0.554   0.3801511.094   0.124   0.148   0.371 480.790  14.209   0.090   1.892   0.943   4.743   1.837   3.995   0.002  -9.582
   0.000   0.371   0.637   0.431  68.122   0.654   0.4633087.167   0.145   0.178   0.347  15.097   2.592   1.424   2.840   2.676   3.983   4.277  -0.080   0.962  -1.302
   0.000   0.342   0.636   0.736 465.642   0.605   0.9354115.340   0.227   0.004   0.820 860.843   1.944   2.851   1.611   0.138   2.114   3.704   1.079   0.517  -2.250
   0.000   0.204   1.183   0.465 344.901   0.668   0.0943358.800   0.150   0.121   0.163 189.819   5.756   0.088   2.928   1.279   6.416   0.632   3.524   1.489   4.213
   0.000   0.269   1.274   0.797  36.835   0.161   0.0794627.614   0.153   0.191   0.650 702.967  13.844   1.595   3.882   1.122   2.059   0.840   2.288   0.467   4.610
   0.000   0.247   1.205   0.708 403.251   0.540   0.5031459.252   0.087   0.153   0.609 286.455  19.762   2.631   0.507   0.308   3.407   1.353   4.341   2.440   0.745
   0.000   0.296   0.795   0.705 257.903   0.068   0.5652142.587   0.190   0.151   0.162 302.586  12.263   1.540   4.918   0.641   3.933   2.337   1.227   1.034  -5.520
   0.000   0.339   0.595   0.104 289.047   0.068   0.4793338.468   0.001   0.209   0.386 195.883   7.098   1.817   2.874   0.152   3.627   1.353  -0.034   1.228   4.341
   0.000   0.380   1.375   0.177 147.222   0.083   0.4414035.629   0.173   0.201   0.649 993.271  14.015   2.599   0.223   2.468   2.617   4.766   0.707   0.107 -11.974
   0.000   0.406   1.236   0.450 177.072   0.887   0.544 569.673   0.202   0.080   0.471 726.009  19.057   2.748   3.956   0.713   7.487   4.239  -0.015   0.005  -9.677
   0.000   0.325   0.508   0.050 234.926   0.385   0.1683731.544   0.081   0.207   0.392 662.788   9.362   1.294   4.583   1.168   5.108   4.044   0.556   1.311 -10.679
   0.000   0.312   1.051   0.096 237.718   0.181   0.3273244.793   0.051   0.220   0.792 410.361  15.569   2.877   2.360   0.758   7.709   3.652   4.992   1.748 -14.904
   0.000   0.299   0.830   0.851 379.871   0.508   0.2851811.718   0.102   0.146   0.450 223.268   4.968   1.573   4.872   2.500   4.014   4.787   3.537   1.047   4.611
   0.000   0.318   0.502   0.302 414.900   0.681   0.5922588.608   0.074   0.175   0.779 775.941   1.298   0.649   4.671   2.529   6.164   4.435   3.979   1.937  -0.378
   0.000   0.330   0.792   0.330 186.725   0.274   0.3744721.020   0.249   0.080   0.410 569.810  13.185   0.280   2.272   1.941   5.606   3.794  -0.188   0.044  -9.919
   0.000   0.357   0.927   0.400 163.170   0.446   0.716 796.927   0.246   0.033   0.880 843.292  17.328   0.642   3.086   0.114   5.528   4.462   1.692   1.364 -11.716
   0.000   0.358   0.933   0.325 201.168   0.095   0.286 989.327   0.017   0.057   0.241 801.004  13.143   1.999   2.561   2.547   6.716   5.040   2.107   2.519  -8.559
   0.000   0.336   1.020   0.144 288.885   0.077   0.7544103.177   0.174   0.129   0.846 262.134  12.697   2.766   3.985   2.477   7.653   1.765   0.284   1.901   1.838
   0.000   0.363   0.869   0.356  32.266   0.391   0.3084278.137   0.161   0.143   0.898 630.115  10.570   2.506   3.213   2.693   3.394   5.524   0.813   2.116 -10.810
   0.000   0.339   0.633   0.073 114.025   0.514   0.3903413.376   0.001   0.100   0.856 970.735  11.261   1.286   4.682   1.153   5.554   2.089   2.213   0.363   1.483
   0.000   0.359   0.698   0.342 224.561   0.631   0.1071553.380   0.199   0.124   0.238  32.833  11.649   2.895   4.649   1.318   6.317   3.488   0.130   1.508  -7.872
   0.000   0.339   1.284   0.267 231.788   0.931   0.2681128.820   0.073   0.051   0.505 461.880  16.494   2.885   2.091   1.608   4.991   3.056   1.175   0.525  -3.800
   0.000   0.193   1.072   0.782 349.500   0.367   0.6153425.503   0.073   0.089   0.689 120.005  13.033   0.337   0.805   0.133   4.048   3.592   2.632   1.988  -5.200
   0.000   0.347   1.350   0.855 422.695   0.851   0.8621105.089   0.237   0.054   0.419 450.084  15.858   2.787   3.402   1.125   3.211   0.974   0.078   1.592  -7.366
   0.000   0.295   1.401   0.788 315.878   0.516   0.8774155.566   0.136   0.074   0.345 333.599  13.614   1.428   2.122   2.877   3.802   2.649   2.241   1.050 -11.098
   0.000   0.233   1.322   0.744 143.376   0.408   0.1601685.061   0.134   0.073   0.809 256.441  10.404   2.569   0.315   2.162   2.775   0.783   3.656   1.576   0.974
   0.000   0.342   1.113   0.207 237.674   0.191   0.3354892.919   0.224   0.208   0.926 657.295  16.075   2.518   3.776   1.107   3.767   5.821   1.119   1.362  -1.413
