

  ==================================================
  ENTER THE SHUFFLED COMPLEX EVOLUTION GLOBAL SEARCH
  ==================================================


*** PRINT THE INITIAL POINT AND ITS CRITERION VALUE ***

 CRITERION    X1      X2      X3      X4      X5      X6      X7      X8      X9     X10     X11     X12     X13     X14     X15     X16     X17     X18     X19
   0.000   0.297   1.095   0.938 301.600   0.485   0.4752055.234   0.076   0.104   0.513 711.087   6.351   2.154   2.612   2.588   4.608   3.196   0.319   2.838 -13.650
   0.000   0.240   1.098   0.623 184.028   0.232   0.1982651.623   0.070   0.140   0.833 443.842   2.855   0.598   1.432   2.946   4.126   4.609   1.786   0.981  -8.663
   0.000   0.293   0.505   0.599 104.285   0.103   0.099 352.330   0.122   0.053   0.822 688.965  11.414   1.219   3.738   0.809   2.663   0.425   3.606   0.414  -7.455
   0.000   0.313   0.741   0.413 285.602   0.097   0.3282395.782   0.134   0.011   0.920  94.314   9.802   1.379   2.940   1.956   4.963   5.635   2.668   1.073 -12.134
   0.000   0.000   1.188   0.781 410.938   0.219   0.1063453.125   0.141   0.110   0.669 562.544   4.562   0.938   0.322   0.562   6.125   1.450   3.125   1.688  -3.750


 *** OPTIMIZATION SEARCH TERMINATED BECAUSE THE LIMIT ON THE MAXIMUM
     NUMBER OF TRIALS    50 EXCEEDED.  SEARCH WAS STOPPED AT
     SUB-COMPLEX   0 OF COMPLEX   0 IN SHUFFLING LOOP   0 ***


*** PRINT THE FINAL PARAMETER ESTIMATE AND ITS CRITERION VALUE ***

 CRITERION    X1      X2      X3      X4      X5      X6      X7      X8      X9     X10     X11     X12     X13     X14     X15     X16     X17     X18     X19
   0.000   1.146   0.638 496.661   0.712   0.1083108.620   0.191   0.197   0.620 665.724   8.263   0.554   1.478   2.901   4.317   1.116   0.414   1.770   1.091
