

  ==================================================
  ENTER THE SHUFFLED COMPLEX EVOLUTION GLOBAL SEARCH
  ==================================================


*** PRINT THE INITIAL POINT AND ITS CRITERION VALUE ***

 CRITERION    X1      X2      X3      X4      X5      X6      X7      X8      X9     X10     X11     X12     X13     X14     X15     X16     X17     X18     X19
   0.000   0.688   0.331 173.438   0.669   0.556 978.125   0.017   0.234   0.219  62.594  14.062   2.438   2.817   2.062   3.125   4.250   0.125   0.188 -13.750


 *** PRINT THE RESULTS OF THE SCE SEARCH ***

 LOOP TRIALS COMPLXS BEST F WORST F PAR RNG     X1      X2      X3      X4      X5      X6      X7      X8      X9     X10     X11     X12     X13     X14     X15     X16     X17     X18     X19
    0    50      10   0.000   0.000   0.243   0.700   0.322 185.754   0.539   0.4702754.105   0.247   0.161   0.070 260.498   3.584   1.011   2.965   0.093   2.274   5.475   0.045   0.644 -10.745

 POPULATION AT LOOP   0
 ----------------------
   0.000   0.243   0.700   0.322 185.754   0.539   0.4702754.105   0.247   0.161   0.070 260.498   3.584   1.011   2.965   0.093   2.274   5.475   0.045   0.644 -10.745
   0.000   0.371   1.154   0.284 199.793   0.445   0.7621474.202   0.249   0.133   0.434  74.619   8.615   1.695   1.022   0.324   7.517   1.443   3.206   2.813  -9.431
   0.000   0.286   1.055   0.637 121.410   0.287   0.2423455.604   0.102   0.193   0.565 359.222  12.967   1.685   2.664   1.377   2.485   2.405   0.407   2.918  -9.996
   0.000   0.331   0.933   0.544  92.858   0.799   0.1332639.993   0.031   0.055   0.930 411.817  13.080   0.163   2.379   2.018   4.386   4.278   1.454   2.956  -3.595
   0.000   0.295   0.667   0.555 188.942   0.586   0.8594377.701   0.025   0.073   0.493 685.689   1.247   1.598   1.406   2.429   4.728   3.185   0.768   1.651 -10.442
   0.000   0.461   1.405   0.746 221.806   0.169   0.2912602.468   0.015   0.198   0.927 868.210  17.114   1.213   0.581   0.214   7.988   1.172   4.254   1.037  -1.749
   0.000   0.339   0.969   0.749 270.953   0.700   0.6594829.742   0.087   0.106   0.775  27.654  18.267   2.915   0.589   1.583   2.885   5.905   2.907   2.587  -3.355
   0.000   0.359   1.367   0.225 305.629   0.682   0.2812425.224   0.169   0.059   0.891 196.365  10.828   1.386   0.722   0.800   5.093   5.717   0.813   0.132   3.308
   0.000   0.310   0.835   0.140 109.118   0.945   0.5492433.192   0.177   0.140   0.766 597.427   8.076   2.958   4.672   2.375   4.382   4.104   2.724   1.236  -1.261
