

  ==================================================
  ENTER THE SHUFFLED COMPLEX EVOLUTION GLOBAL SEARCH
  ==================================================


*** PRINT THE INITIAL POINT AND ITS CRITERION VALUE ***

 CRITERION    X1      X2      X3      X4      X5      X6      X7      X8      X9     X10     X11     X12     X13     X14     X15     X16     X17     X18     X19
   0.000   0.273   0.612   0.268 216.321   0.290   0.865 159.569   0.001   0.179   0.518 482.023   9.833   0.378   2.927   1.672   2.138   2.648   3.911   2.048  -9.293
   0.000   0.378   1.251   0.736 237.528   0.332   0.790 612.112   0.143   0.072   0.541 421.398  10.636   1.402   2.941   1.454   3.624   2.021   3.907   2.501   2.610
   0.000   0.379   0.516   0.448 459.771   0.942   0.941 926.393   0.023   0.136   0.947 740.550  10.481   2.815   2.300   0.916   5.011   0.561   4.162   1.481   1.682
   0.000   0.350   1.327   0.436  69.542   0.776   0.5972069.420   0.102   0.086   0.656 704.472  13.362   1.304   1.618   2.607   5.861   1.830   2.517   1.695  -1.664
   0.000   0.373   1.228   0.835 334.453   0.798   0.7544632.878   0.140   0.019   0.601 359.153   3.329   2.547   1.463   2.116   4.456   4.678  -0.694   2.227  -4.592
   0.000   0.331   0.533   0.057 131.873   0.285   0.2973363.601   0.114   0.034   0.933  46.702  12.823   1.051   4.718   2.046   2.391   2.108   4.707   0.869 -11.208
   0.000   0.336   0.920   0.128 345.781   0.117   0.7403056.371   0.082   0.103   0.446 894.014  16.597   1.723   1.354   0.070   5.042   4.295  -0.173   2.090 -11.492
   0.000   0.273   1.151   0.387 472.401   0.321   0.4821191.344   0.014   0.151   0.130 544.211  10.380   2.881   4.979   1.536   2.610   0.943   2.523   1.756 -14.656
   0.000   0.283   0.695   0.567  58.225   0.910   0.3373445.599   0.203   0.208   0.309 557.642  11.574   0.521   0.435   1.832   4.635   0.698  -0.080   0.530 -14.727
   0.000   0.353   0.757   0.942 464.323   0.205   0.7914619.654   0.246   0.156   0.142 274.532   3.167   1.955   3.081   1.607   7.158   2.564   0.801   0.916 -14.330
   0.000   0.267   0.646   0.176 303.727   0.652   0.5314257.666   0.079   0.176   0.421 166.321   2.481   1.943   1.917   1.143   7.024   4.281   4.870   0.738 -10.241
   0.000   0.333   0.567   0.744 351.068   0.325   0.2092431.893   0.112   0.180   0.088 476.220   9.194   2.264   2.905   1.064   3.984   4.880   4.353   2.352   2.157
   0.000   0.292   0.802   0.447  85.840   0.705   0.856 450.496   0.127   0.115   0.659 834.489  14.879   0.422   1.890   1.887   4.478   0.874   3.599   0.278 -12.463
   0.000   0.359   0.911   0.737 182.189   0.152   0.0881497.217   0.232   0.178   0.921 512.566  12.597   0.126   0.757   1.220   3.439   5.026   0.625   2.253 -11.690
   0.000   0.350   1.339   0.644 254.650   0.929   0.093 465.891   0.168   0.228   0.354 783.628   3.172   1.662   1.139   1.898   7.558   2.772   3.276   1.111 -13.589
   0.000   0.308   1.122   0.204 291.797   0.077   0.2611528.841   0.006   0.239   0.890 355.203   6.116   0.526   4.392   2.701   5.250   1.883  -0.596   0.598  -9.582
   0.000   0.297   1.106   0.345 429.373   0.773   0.245 714.635   0.141   0.139   0.098  54.079   8.991   0.593   2.010   1.429   6.122   2.931   0.096   1.792  -1.788
   0.000   0.238   1.094   0.181 181.823   0.453   0.5013805.946   0.020   0.247   0.919 500.937  19.981   1.933   2.738   0.912   4.126   1.510   0.473   0.054 -11.186
   0.000   0.458   1.194   0.783 214.041   0.090   0.5834008.713   0.056   0.030   0.755 625.741   1.914   2.958   0.207   0.818   6.199   0.548   2.445   2.582 -12.178
   0.000   0.402   1.469   0.939 202.277   0.815   0.7844486.271   0.091   0.148   0.394 536.027  18.031   1.369   0.605   2.918   2.737   0.583   2.077   2.530  -2.520
   0.000   0.357   0.724   0.672  29.705   0.140   0.4161750.835   0.153   0.174   0.339 592.655   2.961   1.052   4.408   1.909   6.231   3.424   2.676   2.632  -5.928
   0.000   0.411   1.079   0.763  39.001   0.882   0.0613289.126   0.085   0.006   0.513 703.966   7.253   0.416   2.309   1.860   7.154   2.958   1.519   0.162   4.027
   0.000   0.336   1.010   0.621 284.356   0.244   0.0784064.925   0.159   0.153   0.212 345.745  16.370   0.617   3.217   2.541   4.361   5.963  -0.648   1.131   1.427
   0.000   0.307   1.356   0.368  48.920   0.670   0.5543018.822   0.081   0.064   0.791 281.789  11.657   0.394   2.030   1.743   2.317   2.753   3.783   1.583 -11.859
   0.000   0.277   1.112   0.147  68.448   0.200   0.6871417.497   0.042   0.249   0.263 464.113  18.719   0.670   4.128   0.175   2.071   3.381  -0.602   0.819  -0.511
   0.000   0.381   1.452   0.936  27.446   0.254   0.5682474.568   0.218   0.151   0.154 505.674  13.031   0.985   0.707   2.388   2.751   2.884   0.637   2.838   0.605
   0.000   0.434   1.230   0.237 418.272   0.835   0.2024581.548   0.107   0.249   0.901 803.457   5.743   1.542   2.322   2.239   6.820   0.872   2.677   1.510   3.694
   0.000   0.390   0.517   0.617 268.577   0.427   0.625 100.920   0.145   0.026   0.897 815.792  10.926   2.366   1.959   0.511   4.969   1.240   3.723   2.189  -6.954
   0.000   0.321   0.613   0.468 279.827   0.088   0.4494904.618   0.142   0.114   0.303 855.529  12.867   1.887   0.458   1.992   3.769   3.373   1.198   1.758  -3.600
   0.000   0.360   1.450   0.124 462.920   0.691   0.0641009.026   0.078   0.200   0.532 724.996  16.297   1.102   4.858   2.008   2.629   1.815   4.881   0.565   2.787
   0.000   0.341   0.507   0.267 483.217   0.216   0.4462073.116   0.124   0.133   0.094 903.499   9.179   0.876   0.859   0.296   5.671   2.000   1.641   0.194 -12.359
   0.000   0.428   1.192   0.735 278.625   0.886   0.8301728.633   0.148   0.119   0.709  74.432  16.419   0.407   3.753   0.202   4.839   1.008   3.752   2.578   3.061
   0.000   0.371   1.398   0.509 319.329   0.191   0.8503645.891   0.039   0.165   0.106 934.330   3.556   2.527   3.592   0.436   5.805   4.747  -0.728   1.080   2.636
   0.000   0.269   0.885   0.403 492.681   0.660   0.0711602.637   0.031   0.207   0.837 788.974   9.734   2.556   0.218   2.285   3.588   5.415   0.601   1.413  -8.360
   0.000   0.380   0.522   0.747 464.269   0.245   0.7533982.578   0.178   0.213   0.588 498.772   2.365   1.407   0.733   0.239   4.763   3.160   2.242   0.503  -9.929
   0.000   0.319   0.824   0.597 129.274   0.364   0.4632207.328   0.170   0.108   0.732 835.074   7.268   2.548   0.107   2.214   4.696   2.883   0.505   1.430  -5.578
   0.000   0.385   1.322   0.705 491.686   0.636   0.482 282.295   0.245   0.188   0.328  38.506   5.662   0.422   4.891   2.427   7.078   3.562   2.800   1.106   4.427
   0.000   0.343   0.676   0.300 182.419   0.943   0.6351597.552   0.195   0.009   0.738 699.428  17.685   1.492   0.253   0.362   7.119   4.964   2.377   1.228 -13.742
   0.000   0.351   0.615   0.688 325.029   0.929   0.3061078.058   0.166   0.119   0.337 657.769   2.412   2.150   1.479   0.407   2.538   3.430   3.457   2.908  -8.599
   0.000   0.369   1.495   0.423  59.486   0.394   0.4222797.790   0.169   0.128   0.368 412.730  10.272   0.874   2.001   3.000   4.088   3.384   1.903   2.737   2.648
   0.000   0.000   0.688   0.331 173.438   0.669   0.556 978.125   0.017   0.234   0.219  62.594  14.062   2.438   2.817   2.062   3.125   4.250   0.125   0.188 -13.750


 *** OPTIMIZATION SEARCH TERMINATED BECAUSE THE LIMIT ON THE MAXIMUM
     NUMBER OF TRIALS    50 EXCEEDED.  SEARCH WAS STOPPED AT
     SUB-COMPLEX   0 OF COMPLEX   0 IN SHUFFLING LOOP   0 ***


*** PRINT THE FINAL PARAMETER ESTIMATE AND ITS CRITERION VALUE ***

 CRITERION    X1      X2      X3      X4      X5      X6      X7      X8      X9     X10     X11     X12     X13     X14     X15     X16     X17     X18     X19
   0.000   0.700   0.322 185.754   0.539   0.4702754.105   0.247   0.161   0.070 260.498   3.584   1.011   2.965   0.093   2.274   5.475   0.045   0.644 -10.745
