

  ==================================================
  ENTER THE SHUFFLED COMPLEX EVOLUTION GLOBAL SEARCH
  ==================================================


*** PRINT THE INITIAL POINT AND ITS CRITERION VALUE ***

 CRITERION    X1      X2      X3      X4      X5      X6      X7      X8      X9
   3.252   1.000   0.500 262.5002525.000   0.125 500.005  10.500   1.500   2.505


 *** PRINT THE RESULTS OF THE SCE SEARCH ***

 LOOP TRIALS COMPLXS BEST F WORST F PAR RNG     X1      X2      X3      X4      X5      X6      X7      X8      X9
    0    50      10   1.628   9.505   0.233   1.008   0.161 398.6392657.624   0.021 208.680   9.459   0.726   4.366

 POPULATION AT LOOP   0
 ----------------------
   1.628   0.233   1.008   0.161 398.6392657.624   0.021 208.680   9.459   0.726   4.366
   1.718   0.257   0.730   0.209 209.0681691.338   0.145  42.215  16.389   2.053   4.518
   1.842   0.225   0.918   0.168 392.519 852.562   0.199 426.968  14.879   0.444   2.556
   1.854   0.291   0.797   0.714 417.188 136.333   0.005 557.628  17.770   1.336   4.449
   1.923   0.225   0.893   0.710 274.8662431.539   0.018  40.894  16.061   0.366   2.897
   2.001   0.228   0.668   0.132 418.6123314.033   0.149 483.356   4.283   1.363   4.227
   2.005   0.299   0.700   0.100 383.3062100.700   0.037 183.505  18.694   1.047   4.295
   2.106   0.219   0.914   0.248 416.449 115.343   0.064 668.980   5.509   1.623   2.898
   2.149   0.327   0.671   0.184  70.856 386.991   0.068  64.444   1.252   1.018   3.049
   2.174   0.200   0.599   0.467 268.7773567.692   0.092 281.597   3.225   0.524   2.112
   2.180   0.218   0.891   0.164 332.4043079.174   0.167 765.001   2.854   1.221   3.959
   2.183   0.216   0.814   0.340 140.9001733.373   0.073 428.112   7.851   0.112   3.898
   2.245   0.251   1.036   0.574  90.3834562.273   0.179 225.371  17.499   0.021   2.415
   2.251   0.189   0.722   0.173  92.8214034.007   0.123 161.554  10.998   1.506   2.623
   2.268   0.205   0.581   0.838 261.1202501.685   0.137 181.309   1.677   1.759   3.139
   2.331   0.294   1.031   0.100 398.3704022.310   0.102 334.865  17.288   0.075   4.957
   2.720   0.271   0.545   0.194 125.0303177.500   0.219 592.215  16.596   2.204   1.514
   2.877   0.282   0.673   0.487  28.4724271.661   0.226 232.375  11.062   0.370   1.131
   2.966   0.189   0.939   0.771 165.1892781.204   0.242 131.806   9.033   1.538   3.271
   3.026   0.177   0.838   0.445 100.6202203.253   0.175 330.717   1.691   1.779   2.709
   3.028   0.226   0.724   0.848 298.7654701.711   0.144 305.897   7.320   2.565   2.183
   3.117   0.233   1.051   0.754 126.901 949.682   0.031 666.334  15.620   0.788   3.051
   3.177   0.197   1.166   0.674 446.1991616.751   0.055 538.148   7.610   1.517   4.336
   3.191   0.221   1.037   0.799 248.4691029.238   0.246 579.413  17.736   1.748   3.807
   3.204   0.227   1.234   0.759 256.6011601.607   0.169   8.950   7.691   0.188   2.859
   3.252   0.000   1.000   0.500 262.5002525.000   0.125 500.005  10.500   1.500   2.505
   3.376   0.174   1.017   0.431 385.8982112.857   0.175  52.527  11.344   0.740   1.574
   3.444   0.220   1.215   0.511 246.220  62.629   0.205 307.476  17.991   1.388   3.873
   3.485   0.289   0.572   0.564 459.2493885.823   0.075 735.820  16.199   2.558   0.898
   3.507   0.289   0.731   0.321 292.5404868.794   0.198 895.871  15.284   2.761   1.323
   3.536   0.278   0.662   0.778 442.0071838.809   0.024 674.772   7.754   0.884   0.483
   3.642   0.260   1.053   0.686 428.5884511.546   0.036 987.690   4.046   1.781   2.270
   4.026   0.251   0.942   0.595 421.0001800.478   0.093 768.926   1.858   2.841   0.958
   4.029   0.247   1.494   0.219 237.3293854.203   0.122 101.771   8.620   0.167   1.792
   4.309   0.234   0.799   0.661 192.4944614.859   0.114 800.601  16.706   2.265   1.347
   4.340   0.282   1.489   0.090 290.2884651.645   0.160 371.659  11.483   2.598   4.592
   4.389   0.157   1.212   0.568 288.710 392.185   0.098 708.907  14.586   1.239   2.397
   4.531   0.192   1.178   0.441 257.6011586.371   0.089 847.707   1.618   1.187   1.419
   4.597   0.252   1.028   0.054  93.3974050.565   0.220 207.170   9.588   2.182   1.842
   5.637   0.186   1.334   0.424 476.8643188.306   0.161 460.401   7.865   2.312   2.116
   5.740   0.229   1.296   0.514  28.1331010.218   0.210  34.504  10.618   1.471   3.130
   5.966   0.263   1.300   0.344 378.0521797.487   0.003  83.459  13.195   2.454   1.824
   5.970   0.295   1.286   0.714  58.5344004.015   0.028   0.322  10.381   2.673   3.051
   6.445   0.271   1.102   0.486 156.1033644.914   0.008  48.777  14.711   2.999   1.381
   6.463   0.159   1.397   0.336 251.9741305.213   0.126 232.629  13.165   1.574   1.755
   6.476   0.337   0.817   0.945  34.9321892.461   0.237 905.158  15.448   2.397   0.812
   8.066   0.253   1.152   0.341 184.7361395.656   0.156 925.278  18.413   1.090   0.218
   8.518   0.292   1.249   0.648  99.9644277.433   0.190 914.145   5.303   1.244   0.091
   9.124   0.338   1.251   0.747 419.8211148.512   0.216  19.599  19.159   2.261   0.745
   9.505   0.262   1.329   0.260 393.511 724.903   0.095 814.458  12.606   1.934   0.372


 *** OPTIMIZATION SEARCH TERMINATED BECAUSE THE LIMIT ON THE MAXIMUM
     NUMBER OF TRIALS    50 EXCEEDED.  SEARCH WAS STOPPED AT
     SUB-COMPLEX   0 OF COMPLEX   0 IN SHUFFLING LOOP   0 ***


*** PRINT THE FINAL PARAMETER ESTIMATE AND ITS CRITERION VALUE ***

 CRITERION    X1      X2      X3      X4      X5      X6      X7      X8      X9
   1.628   1.008   0.161 398.6392657.624   0.021 208.680   9.459   0.726   4.366
