

  ==================================================
  ENTER THE SHUFFLED COMPLEX EVOLUTION GLOBAL SEARCH
  ==================================================


*** PRINT THE INITIAL POINT AND ITS CRITERION VALUE ***

 CRITERION    X1      X2      X3      X4      X5      X6      X7      X8      X9
   4.906   1.250   0.275 381.2501287.500   0.188 250.008  15.250   0.751   1.258


 *** PRINT THE RESULTS OF THE SCE SEARCH ***

 LOOP TRIALS COMPLXS BEST F WORST F PAR RNG     X1      X2      X3      X4      X5      X6      X7      X8      X9
    0    50      10   1.689  10.765   0.324   0.760   0.254 222.2171798.028   0.161 987.792  11.600   1.344   4.901

 POPULATION AT LOOP   0
 ----------------------
   1.689   0.324   0.760   0.254 222.2171798.028   0.161 987.792  11.600   1.344   4.901
   1.807   0.318   0.918   0.076 198.0661127.996   0.084   8.957   2.973   1.097   3.609
   1.861   0.262   1.049   0.463 471.9221555.439   0.248 990.180  13.351   0.236   3.526
   1.877   0.465   0.719   0.599 252.7963678.939   0.040 681.526  10.917   2.477   4.795
   1.942   0.370   0.619   0.609 492.713 294.233   0.018 408.035  11.621   1.354   4.575
   1.962   0.367   0.661   0.579 104.8361792.593   0.143 895.570  11.562   1.515   3.375
   1.965   0.302   0.608   0.263 335.3302057.165   0.058  15.325  13.625   2.370   3.387
   2.120   0.261   0.834   0.122 407.7084989.853   0.184 269.877   9.797   1.847   2.625
   2.136   0.512   0.528   0.899 179.9974824.587   0.158 600.709   3.185   1.524   4.720
   2.143   0.331   0.842   0.840 301.8064100.880   0.181   5.966   2.902   0.023   1.489
   2.208   0.311   0.534   0.283 160.7342308.133   0.145 772.202  13.192   0.583   3.983
   2.237   0.315   0.537   0.271 222.5351971.437   0.093 516.731  13.258   2.728   2.443
   2.239   0.320   0.568   0.063 317.3652223.357   0.082 727.663  12.958   1.570   2.970
   2.285   0.363   0.503   0.414 123.3741047.141   0.142 749.664  12.594   2.894   2.432
   2.312   0.519   0.506   0.428 497.0794608.472   0.011 868.471   2.892   2.292   2.999
   2.314   0.265   0.763   0.794 322.9194291.082   0.138 176.990  12.657   0.362   1.509
   2.346   0.382   0.560   0.710 350.8124015.209   0.147 916.305   7.787   1.569   2.013
   2.485   0.463   0.618   0.603 281.7612121.609   0.247 788.666   1.235   2.956   3.956
   2.494   0.163   1.205   0.232 233.6052388.474   0.161 356.837  15.141   0.745   4.354
   2.611   0.315   0.641   0.129 415.0981910.303   0.040 567.413   3.305   1.550   0.967
   2.612   0.320   0.682   0.148 420.592 483.319   0.043 931.836   9.277   1.620   1.532
   2.655   0.482   0.616   0.884 141.8084880.625   0.043 460.921  10.704   2.416   2.320
   2.675   0.360   0.895   0.555 206.4524503.903   0.022 438.227  12.099   1.405   2.828
   2.865   0.202   0.631   0.342 429.5892247.441   0.189  37.778   9.659   0.222   0.542
   2.947   0.357   1.253   0.360 480.8072268.108   0.011 995.304   4.558   0.541   4.335
   3.078   0.349   0.698   0.353  89.4092895.077   0.014 510.408  15.454   2.179   1.871
   3.122   0.242   1.055   0.311 405.1414006.600   0.098 607.032  18.759   1.408   2.366
   3.134   0.275   0.814   0.681 206.2264908.245   0.132 432.101  15.828   0.617   1.298
   3.424   0.333   1.139   0.406 374.8744003.559   0.122 500.634   7.280   2.947   3.839
   3.680   0.335   1.170   0.653 186.2693948.797   0.242 824.254  16.986   1.364   3.632
   3.697   0.255   1.190   0.390 489.6371703.160   0.061 762.228   4.171   0.491   0.728
   3.774   0.186   1.031   0.388 339.443 590.889   0.187 517.333  11.053   2.025   2.161
   3.908   0.294   1.042   0.735 158.0403903.265   0.117  25.368  19.434   0.524   1.871
   4.069   0.501   1.095   0.908 132.9963709.949   0.049 536.910   1.287   2.843   3.046
   4.080   0.275   1.360   0.462 103.7132591.376   0.172 579.931   9.111   0.754   4.209
   4.173   0.245   1.370   0.661 452.299 192.299   0.205 663.569   5.347   0.294   1.906
   4.250   0.318   1.155   0.948  66.2211391.121   0.157 573.300   3.376   0.179   1.642
   4.372   0.302   0.643   0.136 112.0583245.106   0.119 225.859  11.390   1.684   0.345
   4.555   0.225   1.046   0.312  94.3631798.617   0.225 813.584  16.441   1.302   1.824
   4.906   0.000   1.250   0.275 381.2501287.500   0.188 250.008  15.250   0.751   1.258
   4.942   0.377   1.447   0.869 119.9853941.183   0.199 747.918  10.249   0.542   4.145
   5.009   0.463   0.590   0.883 152.006 421.711   0.075 987.861  18.601   2.672   0.413
   5.166   0.323   1.274   0.311 239.3044363.341   0.180 651.742   1.371   2.018   2.949
   5.469   0.278   1.455   0.323 409.776  72.445   0.124 896.939  14.548   2.723   2.975
   6.336   0.420   1.448   0.933  51.0133788.556   0.182 105.139  10.213   2.651   4.180
   6.520   0.292   1.378   0.101  32.1462579.360   0.010 347.064  16.782   1.283   2.463
   6.535   0.426   1.386   0.363  64.7074119.390   0.012 610.677   8.949   2.767   2.682
   6.571   0.259   1.438   0.913 397.3633222.459   0.194 881.320  17.270   0.335   0.711
   9.657   0.372   1.220   0.453  76.3924024.567   0.041 751.267  12.146   2.421   0.684
  10.765   0.287   1.493   0.530  27.127 369.480   0.175 255.973   2.622   1.549   0.557


