

  ==================================================
  ENTER THE SHUFFLED COMPLEX EVOLUTION GLOBAL SEARCH
  ==================================================


*** PRINT THE INITIAL POINT AND ITS CRITERION VALUE ***

 CRITERION    X1      X2      X3      X4      X5      X6      X7      X8      X9     X10     X11     X12     X13     X14     X15     X16     X17     X18     X19
   0.000   1.438   0.106 292.188   0.894   0.3312215.625   0.203   0.172   0.444 812.519  18.812   0.188   4.064   1.312   4.625   2.850   4.625   0.938   1.250


 *** PRINT THE RESULTS OF THE SCE SEARCH ***

 LOOP TRIALS COMPLXS BEST F WORST F PAR RNG     X1      X2      X3      X4      X5      X6      X7      X8      X9     X10     X11     X12     X13     X14     X15     X16     X17     X18     X19
    0    50      10   0.000   0.000   0.338   1.348   0.274 465.048   0.329   0.5331956.371   0.028   0.079   0.377 640.301  19.899   2.999   2.605   0.490   2.073   2.052   0.037   1.121 -10.876

 POPULATION AT LOOP   0
 ----------------------
   0.000   0.338   1.348   0.274 465.048   0.329   0.5331956.371   0.028   0.079   0.377 640.301  19.899   2.999   2.605   0.490   2.073   2.052   0.037   1.121 -10.876
   0.000   0.342   1.012   0.823  87.728   0.365   0.3423574.224   0.093   0.196   0.091 805.355   2.901   0.019   1.715   2.903   4.112   1.650   4.083   1.501  -9.925
   0.000   0.345   1.409   0.630 188.564   0.925   0.8261236.846   0.133   0.077   0.382 724.197   1.053   0.265   0.968   2.394   2.390   0.671   0.417   2.133  -5.030
   0.000   0.303   1.155   0.759 305.704   0.601   0.2531308.306   0.168   0.076   0.074 763.513   7.840   0.836   0.268   0.555   5.729   3.877   0.858   0.554  -2.797
   0.000   0.359   0.529   0.678  88.134   0.679   0.3142344.006   0.160   0.226   0.429 225.629  10.224   0.283   0.757   1.599   5.898   0.638  -0.518   1.776 -10.457
   0.000   0.355   0.956   0.887  88.292   0.758   0.2231978.285   0.084   0.179   0.651 964.845   9.033   2.788   0.871   0.916   7.421   4.596   2.480   1.963  -1.475
   0.000   0.367   0.675   0.668 248.386   0.516   0.6003820.565   0.193   0.071   0.407 126.945   6.957   2.411   3.612   1.975   6.706   2.811  -0.759   1.202  -3.825
   0.000   0.270   1.452   0.410 438.986   0.664   0.580 979.415   0.057   0.111   0.576 932.813   8.257   0.478   3.726   1.402   2.614   1.414   1.229   0.690 -10.606
   0.000   0.292   1.274   0.594 478.563   0.528   0.4062314.229   0.135   0.190   0.055 275.143  17.438   0.718   1.070   2.654   4.190   2.696   3.767   0.074 -14.602
   0.000   0.380   0.535   0.192 352.981   0.752   0.9083302.757   0.024   0.048   0.406 276.730   3.659   0.306   1.494   0.845   7.368   1.118   3.012   2.854  -0.814
   0.000   0.301   0.704   0.894 176.396   0.898   0.1462287.473   0.135   0.035   0.627 558.763   5.396   0.158   1.474   0.928   4.187   3.708   1.901   1.038  -4.517
