

  ==================================================
  ENTER THE SHUFFLED COMPLEX EVOLUTION GLOBAL SEARCH
  ==================================================


*** PRINT THE INITIAL POINT AND ITS CRITERION VALUE ***

 CRITERION    X1      X2      X3      X4      X5      X6      X7      X8      X9     X10     X11     X12     X13     X14     X15     X16     X17     X18     X19
   0.000   0.350   0.539   0.745 460.497   0.404   0.2371263.086   0.037   0.024   0.737 928.935  15.239   0.507   1.976   1.444   4.481   2.349   2.137   0.168 -10.781
   0.000   0.302   1.495   0.711 214.629   0.498   0.0822513.725   0.236   0.093   0.870  85.721   3.519   0.208   0.091   2.566   6.010   2.804   4.299   0.836   2.590
   0.000   0.279   1.246   0.149 467.289   0.488   0.2624528.013   0.180   0.051   0.414 609.468   2.576   1.730   4.124   2.297   4.877   3.708   2.954   2.608   4.086
   0.000   0.263   1.479   0.560 385.835   0.448   0.9001504.500   0.048   0.221   0.574 910.861  19.623   0.913   0.794   0.420   4.960   3.118   2.403   0.358   0.828
   0.000   0.394   0.915   0.538 440.671   0.454   0.1161730.293   0.098   0.093   0.159  14.206   9.902   2.814   1.074   1.288   5.705   3.852   2.916   0.136 -11.263
   0.000   0.368   0.945   0.877 114.796   0.767   0.563 442.537   0.156   0.183   0.425 842.896   4.498   2.556   1.064   0.589   5.623   5.542   2.291   1.685  -9.821
   0.000   0.327   0.802   0.568 214.598   0.775   0.5742456.553   0.206   0.069   0.152 251.180   1.354   1.211   4.313   1.767   4.806   4.976   0.739   2.394   3.976
   0.000   0.368   1.250   0.332  92.008   0.279   0.2261885.358   0.002   0.101   0.436 598.694   9.820   2.466   2.756   0.326   5.742   5.297  -0.425   2.804   0.422
   0.000   0.389   0.589   0.628 366.860   0.508   0.885 226.657   0.010   0.224   0.947 144.323  13.758   2.035   3.101   1.018   2.953   5.388   4.744   1.351  -0.622
   0.000   0.401   0.613   0.104 183.799   0.067   0.3714334.934   0.103   0.032   0.484 923.824   7.117   1.879   2.194   0.453   6.635   0.683  -0.236   2.422  -2.585
   0.000   0.182   1.450   0.526 292.453   0.775   0.3221864.282   0.208   0.160   0.796 554.528  14.595   1.316   3.849   2.141   2.641   2.516   3.462   2.266  -0.784
   0.000   0.290   1.448   0.122 330.821   0.479   0.3501673.044   0.044   0.032   0.182  41.787   5.530   1.884   4.045   1.111   2.183   3.689   4.066   1.830  -4.109
   0.000   0.369   0.678   0.437 178.281   0.233   0.0732334.700   0.204   0.232   0.829 462.556   1.987   2.736   2.580   2.102   2.292   3.132   0.451   1.022   3.696
   0.000   0.396   0.729   0.553 102.845   0.283   0.1241656.329   0.100   0.061   0.055 796.650   3.819   0.023   1.966   2.464   4.955   1.400   3.502   2.875 -14.534
   0.000   0.322   0.544   0.564 368.883   0.820   0.1701374.565   0.108   0.075   0.561 985.559   2.207   2.243   2.176   1.833   5.561   5.402   3.836   1.230  -0.595
   0.000   0.420   1.134   0.399 320.757   0.503   0.9353961.751   0.042   0.002   0.231 421.927   2.869   0.851   1.159   1.080   2.985   3.467  -0.699   1.657 -11.519
   0.000   0.404   0.932   0.787 383.078   0.814   0.507 359.231   0.207   0.151   0.083 852.132   2.065   1.702   0.405   2.594   4.549   5.165  -0.658   2.434 -12.031
   0.000   0.458   0.911   0.372 184.885   0.468   0.6013568.823   0.117   0.114   0.224 390.410   1.600   1.000   0.424   2.769   7.318   5.793  -0.696   2.324 -11.483
   0.000   0.281   0.890   0.295 469.793   0.309   0.5694211.287   0.143   0.180   0.620 441.920  15.876   2.479   3.303   0.459   6.638   3.078   4.748   1.424  -1.467
   0.000   0.368   0.518   0.860  35.984   0.889   0.412 417.950   0.041   0.147   0.344 443.188  11.953   1.135   2.795   1.753   3.907   3.191   1.863   2.709 -12.542
   0.000   0.450   1.448   0.716 267.658   0.202   0.5854547.631   0.005   0.068   0.075 316.958   3.544   1.744   1.098   0.940   3.820   5.879   1.621   2.790  -5.200
   0.000   0.249   1.142   0.509 348.395   0.122   0.4802591.483   0.192   0.207   0.615 403.542   4.913   0.225   3.606   1.409   5.690   3.978   4.568   2.888   2.942
   0.000   0.320   0.939   0.348  76.155   0.433   0.3632205.344   0.227   0.050   0.712 697.084  10.722   2.942   3.341   0.218   4.275   3.315  -0.802   1.753   4.145
   0.000   0.320   1.043   0.734 379.841   0.574   0.8143266.689   0.154   0.215   0.744   7.310  19.357   0.307   4.460   0.671   2.820   5.813   3.472   2.297  -5.778
   0.000   0.344   0.746   0.712 172.635   0.418   0.2031630.995   0.063   0.197   0.678 206.101   3.160   0.756   1.341   1.166   7.098   3.494   2.185   1.103   1.220
   0.000   0.352   0.668   0.678 324.127   0.686   0.7302459.531   0.146   0.234   0.267 812.859  14.128   2.364   3.878   2.864   7.025   4.334   0.144   2.753  -4.397
   0.000   0.314   1.383   0.136 106.862   0.762   0.2891142.393   0.057   0.151   0.474 318.567   3.902   2.392   4.470   1.612   7.691   1.562   0.390   2.860  -0.435
   0.000   0.334   0.650   0.602 114.289   0.118   0.4434468.498   0.168   0.145   0.329 123.545  18.598   0.713   4.924   1.656   6.029   1.279  -0.458   1.740   0.789
   0.000   0.347   1.203   0.586 135.280   0.282   0.068 824.435   0.068   0.179   0.396 529.329   4.624   2.881   2.938   2.630   3.557   3.700   1.219   1.056   3.067
   0.000   0.392   0.634   0.633 234.860   0.308   0.827  82.742   0.230   0.024   0.227 779.425   3.785   0.265   1.810   2.837   5.854   3.476   3.374   2.453  -9.049
   0.000   0.343   0.791   0.112 459.873   0.366   0.3043352.277   0.145   0.191   0.865 476.454  13.171   2.641   3.814   0.374   7.327   5.964   3.495   0.271 -11.804
   0.000   0.335   0.897   0.707 100.069   0.474   0.3843068.662   0.249   0.086   0.760 795.659  14.618   0.572   4.834   0.709   6.374   5.268   1.378   2.573 -11.779
   0.000   0.379   0.578   0.292 169.807   0.897   0.1283830.120   0.021   0.043   0.828 466.306   4.360   1.087   1.887   1.377   6.396   5.316   0.441   1.549   4.292
   0.000   0.267   1.122   0.249 215.000   0.626   0.4461046.908   0.074   0.171   0.947 671.378  10.288   0.978   2.469   1.575   3.844   5.899   1.337   0.328   1.357
   0.000   0.313   1.002   0.813 233.930   0.771   0.7162939.641   0.244   0.087   0.286 748.312   5.425   0.393   3.813   2.625   6.470   3.463   2.864   2.551 -11.690
   0.000   0.401   0.657   0.664 278.691   0.518   0.5933957.064   0.160   0.134   0.353 174.106   3.913   0.910   1.234   0.655   6.715   5.610   1.230   1.071 -14.818
   0.000   0.262   1.326   0.652 303.344   0.538   0.237 950.939   0.213   0.168   0.455 236.754   4.094   0.939   2.379   1.520   4.459   1.476   3.531   1.517 -14.016
   0.000   0.399   0.721   0.322 161.189   0.438   0.4701968.929   0.245   0.218   0.203 117.020   9.678   2.620   0.247   2.959   4.649   1.456   0.964   2.940  -2.638
   0.000   0.000   1.438   0.106 292.188   0.894   0.3312215.625   0.203   0.172   0.444 812.519  18.812   0.188   4.064   1.312   4.625   2.850   4.625   0.938   1.250


 *** OPTIMIZATION SEARCH TERMINATED BECAUSE THE LIMIT ON THE MAXIMUM
     NUMBER OF TRIALS    50 EXCEEDED.  SEARCH WAS STOPPED AT
     SUB-COMPLEX   0 OF COMPLEX   0 IN SHUFFLING LOOP   0 ***


*** PRINT THE FINAL PARAMETER ESTIMATE AND ITS CRITERION VALUE ***

 CRITERION    X1      X2      X3      X4      X5      X6      X7      X8      X9     X10     X11     X12     X13     X14     X15     X16     X17     X18     X19
   0.000   1.348   0.274 465.048   0.329   0.5331956.371   0.028   0.079   0.377 640.301  19.899   2.999   2.605   0.490   2.073   2.052   0.037   1.121 -10.876
