

  ==================================================
  ENTER THE SHUFFLED COMPLEX EVOLUTION GLOBAL SEARCH
  ==================================================


*** PRINT THE INITIAL POINT AND ITS CRITERION VALUE ***

 CRITERION    X1      X2      X3      X4      X5      X6      X7      X8      X9
   2.840   0.281   0.526   0.509 352.7892507.925   0.124 352.153   8.946   2.512   1.397
   2.932   0.169   0.900   0.712 342.0611534.248   0.037 857.658   2.707   2.163   3.308
   3.022   0.299   1.034   0.369  92.0471104.063   0.196 897.543  12.870   1.421   3.591
   3.061   0.288   0.920   0.515 433.0501767.170   0.100 167.400   3.708   2.101   2.302
   3.104   0.287   1.150   0.255 103.4172899.779   0.188 314.050   5.683   1.475   4.735
   3.121   0.357   0.899   0.583 458.6554294.737   0.031 188.217   3.006   0.364   0.421
   3.142   0.297   1.283   0.076 100.8403930.462   0.028 828.735  13.334   0.923   4.885
   3.208   0.471   1.449   0.082 354.6404327.772   0.237 495.375  16.084   0.606   4.855
   3.348   0.243   1.095   0.302  43.4223799.356   0.037 143.981   4.064   1.307   3.572
   3.453   0.281   0.944   0.895 282.3714577.191   0.098 130.912   1.301   1.219   1.994
   3.609   0.287   0.737   0.752  26.389 150.052   0.015 856.364   6.653   0.521   0.561
   3.725   0.258   1.041   0.559 400.9771694.653   0.076 753.908  10.712   1.493   2.149
   3.733   0.246   1.244   0.709 349.7681640.502   0.007 812.763  10.302   1.409   3.913
   4.142   0.363   1.197   0.192  65.4214875.317   0.118 989.888   2.470   0.302   0.961
   4.240   0.224   0.996   0.713  25.0851309.055   0.071 183.765   4.170   2.868   3.122
   4.310   0.300   1.298   0.534 119.9914406.014   0.211 355.553   3.867   0.836   4.753
   4.415   0.324   1.472   0.282 314.0552493.197   0.106 487.324  12.979   2.451   4.785
   4.474   0.218   1.234   0.743 334.4233008.306   0.103 465.236  12.180   2.594   3.762
   4.506   0.271   1.497   0.225 176.8193211.808   0.014 306.378   4.685   2.308   4.940
   4.554   0.315   1.217   0.577 446.1964188.194   0.087 251.375   7.145   1.050   1.709
   4.686   0.385   1.257   0.353 124.131 244.871   0.129 236.919   1.542   0.244   4.365
   4.772   0.257   0.594   0.425  62.1262644.554   0.014 536.193   9.918   2.693   0.530
   5.043   0.303   1.148   0.941 250.3722411.548   0.005 832.994   5.067   0.544   0.406
   5.129   0.230   1.435   0.140  74.6323603.102   0.037 780.219   7.142   2.921   4.397
   5.496   0.322   1.395   0.117 163.1303921.893   0.242 273.575   5.672   2.485   2.643
   5.706   0.290   1.227   0.365 150.8403801.684   0.150  54.270   9.987   2.584   2.118
   5.886   0.245   1.275   0.445 289.9594356.833   0.137 765.061   8.688   2.633   2.040
   6.062   0.298   1.381   0.384 262.5472216.324   0.114 734.432   2.203   1.709   1.157
   8.201   0.250   1.248   0.943  86.3014163.647   0.079 982.980  15.132   2.355   1.367


 *** OPTIMIZATION SEARCH TERMINATED BECAUSE THE LIMIT ON THE MAXIMUM
     NUMBER OF TRIALS    50 EXCEEDED.  SEARCH WAS STOPPED AT
     SUB-COMPLEX   0 OF COMPLEX   0 IN SHUFFLING LOOP   0 ***


*** PRINT THE FINAL PARAMETER ESTIMATE AND ITS CRITERION VALUE ***

 CRITERION    X1      X2      X3      X4      X5      X6      X7      X8      X9
   1.729   0.797   0.779 387.4661756.146   0.169   8.159  17.154   0.469   4.983
