

  ==================================================
  ENTER THE SHUFFLED COMPLEX EVOLUTION GLOBAL SEARCH
  ==================================================


*** PRINT THE INITIAL POINT AND ITS CRITERION VALUE ***

 CRITERION    X1      X2      X3      X4      X5      X6      X7      X8      X9
   2.229   0.750   0.725 143.7503762.500   0.063 750.003   5.750   2.250   3.753


 *** PRINT THE RESULTS OF THE SCE SEARCH ***

 LOOP TRIALS COMPLXS BEST F WORST F PAR RNG     X1      X2      X3      X4      X5      X6      X7      X8      X9
    0    50      10   1.729   8.201   0.404   0.797   0.779 387.4661756.146   0.169   8.159  17.154   0.469   4.983

 POPULATION AT LOOP   0
 ----------------------
   1.729   0.404   0.797   0.779 387.4661756.146   0.169   8.159  17.154   0.469   4.983
   1.762   0.333   0.971   0.067 452.3974655.155   0.212 985.884   4.900   1.529   4.247
   1.825   0.317   0.985   0.532 392.989 190.144   0.034 807.439  13.212   0.616   3.991
   1.877   0.219   0.692   0.549 323.1931952.768   0.074 990.149   7.125   0.994   4.749
   1.882   0.271   0.654   0.512 123.7761752.318   0.144 164.645  11.063   1.137   3.294
   1.980   0.190   0.861   0.244 172.1441124.285   0.107 824.122   7.402   1.871   3.815
   2.029   0.166   0.725   0.408 366.5973562.416   0.084 430.347   3.187   2.275   4.075
   2.068   0.233   0.546   0.051 144.1783939.812   0.033 396.104  12.491   2.555   2.882
   2.070   0.214   0.504   0.623 410.6964336.541   0.125 930.348  12.256   1.912   3.798
   2.072   0.202   0.915   0.387 349.7831726.995   0.053 733.706   4.986   1.698   4.519
   2.090   0.354   0.644   0.333 499.7671446.445   0.185 768.896  16.425   1.690   2.889
   2.136   0.392   0.967   0.517 362.5494086.674   0.226 737.664  18.264   0.167   1.086
   2.203   0.268   0.532   0.699 257.2462493.290   0.101 284.801  10.958   0.634   2.544
   2.215   0.393   0.996   0.387  55.331 241.272   0.075 521.480  18.538   0.074   2.052
   2.229   0.000   0.750   0.725 143.7503762.500   0.063 750.003   5.750   2.250   3.753
   2.257   0.284   0.946   0.228 121.5094211.029   0.177 126.123  12.289   2.296   4.918
   2.261   0.285   0.890   0.637 406.4521764.282   0.037 697.856  16.280   0.854   2.776
   2.284   0.317   0.556   0.264  32.3442698.691   0.056 563.260   3.168   0.076   0.662
   2.332   0.286   0.755   0.606 291.9681710.591   0.080 120.413  10.682   0.902   2.238
   2.400   0.232   0.791   0.593 372.0163317.182   0.202 336.316   9.532   2.313   3.080
   2.625   0.375   0.511   0.481 413.1243144.711   0.159 259.346  17.881   0.409   3.968
